Trial Id,Phase,Condition,Intervention,High Confidence Event(s),Death Category,Has death? (Y/N)
NCT00075478,Phase 3,Acute_Lymphoblastic_Leukemia_in_Remission Acute_Myeloid_Leukemia_in_Remission Aggressive_Non-Hodgkin_Lymphoma Chronic_Phase_Chronic_Myelogenous_Leukemia_BCR-ABL1_Positive Diffuse_Large_B-Cell_Lymphoma Hematopoietic_and_Lymphoid_Cell_Neoplasm Indolent_Non-Hodgkin_Lymphoma Mantle_Cell_Lymphoma Myelodysplastic/Myeloproliferative_Neoplasm Plasma_Cell_Myeloma Refractory_Chronic_Lymphocytic_Leukemia Refractory_Hodgkin_Lymphoma Waldenstrom_Macroglobulinemia ,Total-Body_Irradiation Fludarabine_Phosphate Mycophenolate_Mofetil Cyclosporine Peripheral_Blood_Stem_Cell_Transplantation ,N/A,N/A,N
NCT00075504,Phase 2,Stage_II_Gallbladder_Cancer Stage_IIIA_Gallbladder_Cancer Stage_IIIB_Gallbladder_Cancer Stage_IVA_Gallbladder_Cancer Stage_IVB_Gallbladder_Cancer ,triapine gemcitabine ,N/A,N/A,N
NCT00075582,Phase 3,Adult_Rhabdomyosarcoma Embryonal_Childhood_Rhabdomyosarcoma Embryonal-botryoid_Childhood_Rhabdomyosarcoma Previously_Untreated_Childhood_Rhabdomyosarcoma ,conventional_surgery dactinomycin cyclophosphamide vincristine_sulfate radiation_therapy ,N/A,N/A,N
NCT00075270,Phase 3,Neoplasms_Breast,Paclitaxel GW572016_(Lapatinib) ,N/A,General_disorders ,Y
NCT00075218,Phase 3,Gastrointestinal_Stromal_Tumor,Placebo SU011248 ,Melaena Haematemesis Multi-organ_failure Haemoglobin_decreased Cerebral_ischaemia Encephalopathy Haemorrhage Cystitis Circulatory_collapse Cardio-respiratory_arrest Duodenal_ulcer Musculoskeletal_pain Metastases_to_liver Cerebral_haemorrhage ,N/A,N
NCT00075803,Phase 3,Lymphoma Infection Leukemia ,Fluconazole Voriconazole ,N/A,General_disorders ,Y
NCT00075881,Phase 2,Stage_I_Multiple_Myeloma Stage_II_Multiple_Myeloma Stage_III_Multiple_Myeloma ,bortezomib laboratory_biomarker_analysis ,N/A,N/A,N
NCT00076011,Phase 2,Kidney_Neoplasms,Vascular_Endothelial_Growth_Factor_Receptor_[VEGFR]_and_Platelet-Derived_Growth_Factor_Receptor_[PDGFR]_inhibitor,N/A,N/A,N
NCT00075946,Phase 3,Lymphoma,rituximab,Encephalopathy ,N/A,N
NCT00076024,Phase 1/Phase 2,Breast_Neoplasms,Placebo Docetaxel AG-013736_(axitinib) Docetaxel ,Duodenal_ulcer Metastases_to_liver ,N/A,N
NCT00075725,Phase 3,Leukemia,cyclophosphamide cytarabine daunorubicin_hydrochloride dexamethasone doxorubicin_hydrochloride leucovorin_calcium mercaptopurine methotrexate pegaspargase prednisone thioguanine vincristine_sulfate radiation_therapy ,Multi-organ_failure Encephalopathy ,General_disorders ,Y
NCT00076102,Phase 2,Neurofibromatosis_1 Neurofibroma_Plexiform ,Pirfenidone,N/A,N/A,N
NCT00076336,Phase 3,Hepatitis Hepatitis_B_Chronic Cirrhosis ,Telbivudine Lamivudine Placebo ,Cholangitis Cerebral_haemorrhage Encephalopathy Duodenal_ulcer Haematemesis Diabetes_mellitus_inadequate_control Hemiparesis Haemorrhage Orthostatic_hypotension ,General_disorders ,Y
NCT00076687,Phase 2,Stroke Muscle_Spasticity Motor_Neuron_Disease ,botulinum_toxin_Type_A botulinum_toxin_Type_A saline ,N/A,N/A,N
NCT00076804,Phase 2,HIV_Infections,Directly_Observed_Therapy,N/A,General_disorders ,Y
NCT00076752,Phase 2,Lupus_Erythematosus_Systemic,fludarabine_phosphate cyclophosphamide Rituxan_(rituximab) filgrastim methylprednisolone immunologic_technique laboratory_biomarker_analysis autologous_hematopoietic_stem_cell_transplantation Diphenhydramine Mesna ,N/A,N/A,N
NCT00077207,N/A,Brain_Tumor Central_Nervous_System_Tumor ,carboplatin temozolomide vincristine_sulfate ,N/A,N/A,N
NCT00076999,Phase 1,HIV_Infections,TPV_oral_solution TPV_oral_solution RTV_oral_solution RTV_oral_solution ,Oesophagitis ,N/A,N
NCT00077376,Phase 2,HER2-positive_Breast_Cancer Male_Breast_Cancer Recurrent_Breast_Cancer Stage_IV_Breast_Cancer ,trastuzumab ixabepilone carboplatin laboratory_biomarker_analysis ,Encephalopathy ,General_disorders ,Y
NCT00077675,Phase 2,Infections_Gram-Positive_Bacterial,Telavancin vancomycin_or_antistaphylococcal_penicillin ,N/A,N/A,N
NCT00077857,Phase 2,Breast_Cancer,capecitabine_(Xelodaå¨) docetaxel_(Taxotereå¨) ,Cardiopulmonary_failure Musculoskeletal_pain ,N/A,N
NCT00077922,Phase 2,Leukemia Lymphocytic Chronic ,LMB-2,N/A,N/A,N
NCT00077974,Phase 2,Carcinoma_Renal_Cell,SU011248,Musculoskeletal_pain ,N/A,N
NCT00078286,Phase 2/Phase 3,Heart_Failure_Congestive Chronic_Heart_Failure Depression ,Sertraline Placebo ,N/A,N/A,N
NCT00078325,Phase 3,Obstructive_Sleep_Apnea Hypopnea ,Armodafinil_250_mg/day Armodafinil_150_mg/day Placebo ,N/A,N/A,N
NCT00078403,Phase 2,HIV_Infections Hepatitis_C Liver_Disease ,Peginterferon_alfa-2a Ribavirin ,Haemoglobin_decreased ,General_disorders ,Y
NCT00078312,Phase 3,Narcolepsy Sleep_Apnea_Obstructive Sleep_Apnea_Syndromes Shift-Work_Sleep_Disorder ,CEP-10953_(Armodafinil),Haematoma ,N/A,N
NCT00078559,Phase 1/Phase 2,Kidney_Transplantation Kidney_Disease ,Alemtuzumab Sirolimus Tacrolimus Kidney_transplant Methylprednisolone_(or_equivalent) Acetaminophen Diphenhydramine Trimethoprim_(TMP)/Sulfa_(Bactrim_Septra) Valgancyclovir Acyclovir Pentamidine Clotrimazole Nystatin ,N/A,N/A,N
NCT00078377,Phase 3,Narcolepsy,Armodafinil Armodafinil Placebo ,N/A,N/A,N
NCT00078754,Phase 2,Intermittent_Explosive_Disorder,Fluoxetine Divalproex Placebo ,N/A,N/A,N
NCT00078949,Phase 3,Lymphoma,rituximab cisplatin cytarabine dexamethasone gemcitabine_hydrochloride ,Duodenal_ulcer ,N/A,N
NCT00079040,Phase 2,Extensive_Stage_Small_Cell_Lung_Cancer,cisplatin etoposide bevacizumab laboratory_biomarker_analysis ,N/A,General_disorders ,Y
NCT00079001,Phase 3,Metastatic_Cancer Prostate_Cancer ,zoledronic_acid placebo androgen_deprivation_therapy GnRH_agonist Calcium_supplement Vitamin_D ,Fracture Cystitis Sick_sinus_syndrome ,General_disorders ,Y
NCT00079326,Phase 2,HER2-positive_Breast_Cancer Recurrent_Breast_Cancer Stage_IV_Breast_Cancer ,trastuzumab ixabepilone laboratory_biomarker_analysis ,N/A,N/A,N
NCT00079391,Phase 2,Hematologic_Malignancies Bone_Marrow_Transplant_Rejection ,allogeneic_hematopoietic_stem_cell_transplantation,N/A,Blood_and_lymphatic_system_disorders Immune_system_disorders ,Y
NCT00079417,Phase 3,Intraocular_Retinoblastoma,cryosurgery infrared_laser_therapy iodine_I_125 ruthenium_Ru_106 carboplatin vincristine_sulfate radiation_therapy ,N/A,N/A,N
NCT00079339,Phase 1/Phase 2,Untreated_Childhood_Brain_Stem_Glioma,radiation_therapy tipifarnib ,Encephalopathy ,General_disorders ,Y
NCT00079677,Phase 3,Obstructive_Sleep_Apnea Sleep_Hypopnea ,Armodafinil_150_mg/day Placebo ,N/A,N/A,N
NCT00079781,Phase 2,Epilepsy,RNSå¨_System_implantation RNSå¨_System_responsive_stimulation ,Cystitis ,General_disorders ,Y
NCT00079274,Phase 3,Adenocarcinoma_of_the_Colon Stage_III_Colon_Cancer ,irinotecan_hydrochloride oxaliplatin leucovorin_calcium fluorouracil cetuximab Locally_Directed_Therapy ,Ventricular_tachycardia Fracture Encephalopathy ,General_disorders ,Y
NCT00079937,Phase 3,Asthma,Omalizumab Placebo Fluticasone ,Duodenal_ulcer ,N/A,N
NCT00080288,Phase 3,Excessive_Sleepiness Shift_Work_Sleep_Disorder ,Armodafinil_150_mg/day Placebo ,N/A,N/A,N
NCT00080119,Phase 2/Phase 3,HIV_Infection Tuberculosis Pneumocystis_Jiroveci_Pneumonia ,Isoniazid_(INH) Trimethoprim/Sulfamethoxazole_(TMP/SMX) Isoniazid_Placebo_(PL) ,Encephalopathy Haemoglobin_decreased ,General_disorders ,Y
NCT00080301,Phase 3,Breast_Cancer Metastases ,Ixabepilone_+_Capecitabine Capecitabine ,N/A,General_disorders ,Y
NCT00080483,Phase 2,Hypopituitarism Hypogonadism Growth_Hormone_Deficiency ,Testosterone_plus_somatropin testosterone ,N/A,N/A,N
NCT00080535,Phase 2,Lymphoma T-Cell Cutaneous ,LMB-2,N/A,N/A,N
NCT00080938,Phase 2,Lung_Cancer Metastatic_Cancer ,Temozolomide Radiation_therapy ,N/A,N/A,N
NCT00081289,Phase 2,Colorectal_Cancer,Radiation_Therapy Capecitabine_1650_mg/m^2/day Capecitabine_1200_mg/m^2/day Irinotecan Oxaliplatin Surgery Folinic_Acid Fluorouracil Oxaliplatin ,Duodenal_ulcer Multi-organ_failure ,General_disorders ,Y
NCT00081328,Phase 3,Diabetes_Mellitus_Type_II,Metformin Rosiglitazone Lifestyle_Program ,N/A,N/A,N
NCT00081458,Phase 3,Short_Bowel_Syndrome,Placebo Teduglutide_0.05_mg/kg/d Teduglutide_0.1_mg/kg/d ,N/A,N/A,N
NCT00081653,Phase 4,Post-Menopausal_Osteoporosis,ibandronate_[Bonviva/Boniva] ibandronate_[Bonviva/Boniva] ,Bladder_cancer Rectal_cancer Hemiparesis Aortic_aneurysm Melaena Cystitis ,N/A,N
NCT00081731,Phase 3,Atherosclerosis Cardiovascular_Diseases Hypertension_Renovascular Renal_Artery_Obstruction ,Atacand/HCT_Caduet GENESISTM_Embolic_Protection_Stent_and_Angioguard_Device_(Angioplasty_plus_stenting) ,N/A,N/A,N
NCT00081497,Phase 4,Fabry_Disease,agalsidase_beta,Ventricular_tachycardia Localised_infection Renal_failure_chronic ,N/A,N
NCT00081861,Phase 2,Lymphoma,Avastin Rituximab ,N/A,N/A,N
NCT00081770,Phase 3,Hepatitis_C_Chronic,PegIntron_(peginterferon_alfa-2b;_SCH_54031) PegIntron_(peginterferon_alfa-2b;_SCH_54031) REBETOL_(ribavirin;_SCH_18908) PEGASYS_(peginterferon_alfa-2a) COPEGUS_(ribavirin) ,N/A,General_disorders ,Y
NCT00081939,Phase 2,Multiple_Myeloma,Velcade Thalidomide ,N/A,N/A,N
NCT00082017,Phase 2,Lymphoma_Large-Cell_Ki-1 Lymphoma_T-Cell ,UCN-01_(7-hydroxystaurosporine),N/A,N/A,N
NCT00082329,Phase 2,Healthy,AMD_3100_(Mozobil_plerixafor),N/A,N/A,N
NCT00082381,Phase 3,Diabetes_Mellitus_Type_2,Exenatide_(AC2993) Insulin_glargine ,N/A,N/A,N
NCT00082407,Phase 3,Diabetes_Mellitus_Type_2,exenatide biphasic_insulin_aspart ,Musculoskeletal_pain ,N/A,N
NCT00082433,Phase 3,Cancer Breast_Cancer ,Ixabepilone_+_Capecitabine Capecitabine ,N/A,General_disorders ,Y
NCT00082810,Phase 2,Estrogen_Receptor-positive_Breast_Cancer Recurrent_Breast_Cancer Stage_IIIB_Breast_Cancer Stage_IIIC_Breast_Cancer Stage_IV_Breast_Cancer ,fulvestrant tipifarnib ,N/A,N/A,N
NCT00082888,Phase 2,Anaplastic_Large_Cell_Lymphoma Extranodal_Marginal_Zone_Lymphoma_of_Mucosa-Associated_Lymphoid_Tissue Mature_T-Cell_and_NK-Cell_Non-Hodgkin_Lymphoma Nodal_Marginal_Zone_Lymphoma Recurrent_Adult_Diffuse_Large_Cell_Lymphoma Recurrent_Adult_Diffuse_Mixed_Cell_Lymphoma Recurrent_Adult_Hodgkin_Lymphoma Recurrent_Adult_T-Cell_Leukemia/Lymphoma Recurrent_Grade_1_Follicular_Lymphoma Recurrent_Grade_2_Follicular_Lymphoma Recurrent_Grade_3_Follicular_Lymphoma Recurrent_Mantle_Cell_Lymphoma Recurrent_Small_Lymphocytic_Lymphoma Splenic_Marginal_Zone_Lymphoma ,Laboratory_Biomarker_Analysis Tipifarnib ,N/A,N/A,N
NCT00082758,Phase 2,Neuroblastoma,hu14.18-Interleukin-2_fusion_protein,N/A,General_disorders ,Y
NCT00083122,Phase 2,Recurrent_Ovarian_Epithelial_Cancer Recurrent_Primary_Peritoneal_Cavity_Cancer Stage_IIIA_Ovarian_Epithelial_Cancer Stage_IIIA_Primary_Peritoneal_Cavity_Cancer Stage_IIIB_Ovarian_Epithelial_Cancer Stage_IIIB_Primary_Peritoneal_Cavity_Cancer Stage_IIIC_Ovarian_Epithelial_Cancer Stage_IIIC_Primary_Peritoneal_Cavity_Cancer Stage_IV_Ovarian_Epithelial_Cancer Stage_IV_Primary_Peritoneal_Cavity_Cancer ,cisplatin alvocidib cisplatin/flavopiridol ,N/A,N/A,N
NCT00083226,Phase 2,Adult_Primary_Hepatocellular_Carcinoma Advanced_Adult_Primary_Liver_Cancer Localized_Unresectable_Adult_Primary_Liver_Cancer Recurrent_Adult_Primary_Liver_Cancer ,doxorubicin bortezomib ,N/A,N/A,N
NCT00083174,Phase 3,Breast_Cancer,exemestane,Fracture ,General_disorders ,Y
NCT00083382,Phase 2,Multiple_Myeloma,Pamidronate Thalidomide Zometa ,N/A,N/A,N
NCT00083616,Phase 2,Colorectal_Cancer Metastatic_Cancer ,Panitumumab,Cholangitis Diabetes_mellitus_inadequate_control Circulatory_collapse ,N/A,N
NCT00083551,Phase 3,Multiple_Myeloma,Thalidomide Ara-C BCNU Cisplatin Cytoxan Dexamethasone Doxorubicin Etoposide Filgrastim Recombinant_GM-CSF Interferon-alpha-2b Melphalan Vincristine ,N/A,N/A,N
NCT00083720,Phase 2,Colorectal_Neoplasms Metastases Neoplasm ,cetuximab,N/A,General_disorders ,Y
NCT00083915,Phase 3,Multiple_Myeloma,Cisplatin Cyclophosphamide Adriamycin Etoposide Melphalan Thalidomide Dexamethasone ,N/A,General_disorders ,Y
NCT00084084,Phase 2,Fabry_Disease,Agalsidase_alfa,N/A,N/A,N
NCT00084383,Phase 2,Pancreatic_Cancer,GVAX_pancreatic_cancer_vaccine,N/A,N/A,N
NCT00084136,Phase 4,HIV_Infections,Atazanavir Didanosine_(enteric-coated) Efavirenz Emtricitabine Emtricitabine/Tenofovir_disoproxil_fumarate Lamivudine/Zidovudine ,Cerebral_haemorrhage Haemoglobin_decreased ,General_disorders Pregnancy_puerperium_and_perinatal_conditions ,Y
NCT00084409,Phase 2,Lung_Cancer Precancerous_Condition ,iloprost placebo ,N/A,General_disorders ,Y
NCT00084487,Phase 2,Extensive_Stage_Small_Cell_Lung_Cancer Limited_Stage_Small_Cell_Lung_Cancer Recurrent_Small_Cell_Lung_Cancer ,becatecarin,N/A,General_disorders ,Y
NCT00084617,Phase 2,Adenocarcinoma_of_the_Gastroesophageal_Junction Diffuse_Adenocarcinoma_of_the_Stomach Intestinal_Adenocarcinoma_of_the_Stomach Mixed_Adenocarcinoma_of_the_Stomach Recurrent_Gastric_Cancer Stage_IIIA_Gastric_Cancer Stage_IIIB_Gastric_Cancer Stage_IIIC_Gastric_Cancer Stage_IV_Gastric_Cancer ,oxaliplatin irinotecan_hydrochloride capecitabine ,N/A,General_disorders ,Y
NCT00084682,Phase 2,Stage_IV_Squamous_Cell_Carcinoma_of_the_Hypopharynx Stage_IV_Squamous_Cell_Carcinoma_of_the_Larynx Stage_IV_Squamous_Cell_Carcinoma_of_the_Lip_and_Oral_Cavity Stage_IV_Squamous_Cell_Carcinoma_of_the_Oropharynx ,romidepsin,N/A,N/A,N
NCT00083889,Phase 3,Carcinoma_Renal_Cell,Interferon-alfa SU011248 ,Haematemesis Localised_infection Haemoglobin_decreased Cerebral_ischaemia Hemiparesis Lung_disorder Cerebral_haemorrhage ,General_disorders ,Y
NCT00084266,Phase 4,Methicillin_Resistant_Staphylococcus_Aureus_(MRSA),linezolid_(Zyvox) vancomycin ,Cardio-respiratory_arrest Cardiopulmonary_failure Multi-organ_failure Gangrene Renal_failure_chronic Lung_disorder Circulatory_collapse Cerebral_ischaemia Haemorrhage ,N/A,N
NCT00085202,Phase 3,Brain_and_Central_Nervous_System_Tumors,filgrastim cisplatin cyclophosphamide vincristine autologous_hematopoietic_stem_cell_transplantation radiation_therapy ,Encephalopathy ,General_disorders ,Y
NCT00085293,Phase 2,Recurrent_Thyroid_Cancer Stage_IVA_Follicular_Thyroid_Cancer Stage_IVA_Papillary_Thyroid_Cancer Stage_IVB_Follicular_Thyroid_Cancer Stage_IVB_Papillary_Thyroid_Cancer Stage_IVC_Follicular_Thyroid_Cancer Stage_IVC_Papillary_Thyroid_Cancer ,Decitabine Iodine_I_131 Recombinant_thyrotropin_alfa Fludeoxyglucose_F_18 Positron_emission_tomography ,N/A,N/A,N
NCT00085423,Phase 2,Melanoma_(Skin),aldesleukin sargramostim cyclophosphamide fludarabine_phosphate ,N/A,N/A,N
NCT00085631,Phase 3,Cervical_Cancer,cisplatin hyperthermia_treatment brachytherapy external_beam_radiation_therapy ,N/A,N/A,N
NCT00085839,Phase 2,Non-Small_Cell_Lung_Cancer,Tarceva_(Trademark)_(erlotinib_HCl_OSI-774) Combination_carboplatin_and_paclitaxel ,Ventricular_fibrillation Cerebral_haemorrhage ,General_disorders ,Y
NCT00085917,Phase 2,Hepatitis_C HIV_Infections ,Double_dose_pegylated_interferon_with_weight_based_Ribavirin standard_dose_pegylated_interferon_alfa_-2a_and_ribavirin ,N/A,N/A,N
NCT00085644,Phase 3,Ankylosing_Spondylitis,adalimumab_(D2E7) placebo ,Spinal_column_stenosis ,N/A,N
NCT00085709,Phase 3,Leukemia,gemtuzumab_ozogamicin observation Cytosine_arabinoside Daunomycin ,N/A,General_disorders ,Y
NCT00086281,Phase 4,Obstructive_Sleep_Apnea_Syndrome,Xyrem_(X) Zolpidem_(Z) Modafinil_(M) Placebo_(P) ,N/A,N/A,N
NCT00086385,Phase 3,Tobacco_Use_Disorder,Nicotine_polacrilex_Bupropion,N/A,General_disorders ,Y
NCT00086411,Phase 2,Tobacco_Use_Disorder,nicotine_transdermal_system bupropion Medication_Management Mayo_Counseling placebo_patch placebo_bupropion ,N/A,Neoplasms_benign_malignant_and_unspecified_(incl_cysts_and_polyps) General_disorders ,Y
NCT00086346,Phase 3,Liver_Transplantation,Sirolimus_(Rapamune) Cyclosporine_or_Tacrolimus ,Sick_sinus_syndrome Cholangitis Lung_disorder Skin_ulcer ,General_disorders ,Y
NCT00086502,Phase 3,Diabetes_Mellitus_Type_2,Comparator:_Sitagliptin Comparator:_Placebo Comparator:_Pioglitazone Metformin ,N/A,N/A,N
NCT00086515,Phase 3,Diabetes_Mellitus_Type_II,Sitagliptin_(MK0431) Placebo/Glipizide_5_mg Metformin Pioglitazone ,Melaena Cholangitis ,General_disorders ,Y
NCT00086619,Phase 2,Postmenopausal_Osteoporosis Osteoporosis ,synthetic_hPTH_1-34,N/A,N/A,N
NCT00086580,Phase 3,B-Cell_Chronic_Lymphocytic_Leukemia,FluCAM_[Fludara_+_Campath] fludarabine_phosphate ,Cardiopulmonary_failure Multi-organ_failure ,General_disorders ,Y
NCT00086684,Phase 4,Interstitial_Cystitis,Pentosan_polysulfate_sodium_100_mg Placebo Pentosan_polysulfate_sodium_100_mg ,N/A,N/A,N
NCT00086996,Phase 2,Esophageal_Cancer,fluorouracil oxaliplatin conventional_surgery radiation_therapy ,N/A,N/A,N
NCT00087152,Phase 2,Breast_Cancer,Capecitabine Imatinib_mesylate ,N/A,Neoplasms_benign_malignant_and_unspecified_(incl_cysts_and_polyps) ,Y
NCT00087139,Phase 2,Adenocarcinoma_of_the_Prostate Recurrent_Prostate_Cancer Stage_IV_Prostate_Cancer ,ixabepilone,N/A,N/A,N
NCT00087438,Phase 2,Lung_Cancer,stereotactic_body_radiation_therapy,N/A,General_disorders ,Y
NCT00087529,Phase 2/Phase 3,Multiple_Sclerosis,placebo rituximab ,Cardiopulmonary_failure Encephalopathy Coronary_artery_stenosis Aortic_aneurysm ,Pregnancy_puerperium_and_perinatal_conditions ,Y
NCT00087555,Phase 2,Fibromyalgia,Xyrem_(sodium_oxybate)_oral_solution Xyrem_(sodium_oxybate)_oral_solution Placebo ,N/A,N/A,N
NCT00087490,Phase 4,Skin/Soft_Tissue_Infections Methicillin_Resistant_Staphylococcus_Aureus_(MRSA) ,linezolid vancomycin ,Cardio-respiratory_arrest Cystitis Renal_failure_chronic ,General_disorders ,Y
NCT00087516,Phase 3,Diabetes_Mellitus_Type_2,Sitagliptin_(MK0431) Sitagliptin Placebo Placebo Metformin_-_Rescue ,N/A,N/A,N
NCT00087672,Phase 2,Myelofibrosis,CC-5013,N/A,General_disorders ,Y
NCT00087633,Phase 4,Hepatitis_C_Chronic,peginterferon_alfa-2a_[Pegasys] Copegus ,N/A,N/A,N
NCT00087698,Phase 2,Pleural_Neoplasms,pemetrexed cisplatin ,N/A,General_disorders ,Y
NCT00088153,Phase 2/Phase 3,Anorexia_Nervosa,Physiologic_Estrogen/progesterone Placebo ,N/A,N/A,N
NCT00088218,Phase 2,Acute_Myeloid_Leukemia Myelodysplastic_Syndrome ,Clofarabine Ara-C ,N/A,General_disorders ,Y
NCT00088166,Phase 3,Brain_Edema Brain_Tumor ,hCRF placebo_hCRF ,Hemiparesis Cerebral_haemorrhage ,N/A,N
NCT00088374,Phase 2,Hippel-Lindau_Disease Kidney_Cancer ,17_allylamino-17-demethoxygeldanamycin 18_FDG_(Fludeoxyglucose_18F) [15-O]_H2O EPL_diluent ,N/A,N/A,N
NCT00088621,Phase 2,Schizophrenia,Lurasidone_80mg_tablet,N/A,N/A,N
NCT00088465,Phase 3,Schizophrenic_Disorders Schizoaffective_Disorder ,Intramuscular_olanzapine_depot,Cardiac_failure_acute Ventricular_tachycardia Malaise ,N/A,N
NCT00088595,Phase 2,Carcinoid_Tumors,Pasireotide_(SOM230),N/A,N/A,N
NCT00088634,Phase 2,Schizophrenia,Lurasidone Placebo ,N/A,N/A,N
NCT00088881,Phase 2,Contiguous_Stage_II_Adult_Diffuse_Large_Cell_Lymphoma Extranodal_Marginal_Zone_B-cell_Lymphoma_of_Mucosa-associated_Lymphoid_Tissue Nodal_Marginal_Zone_B-cell_Lymphoma Noncontiguous_Stage_II_Adult_Diffuse_Large_Cell_Lymphoma Splenic_Marginal_Zone_Lymphoma Stage_I_Adult_Diffuse_Large_Cell_Lymphoma Testicular_Lymphoma WaldenstrÌ_m_Macroglobulinemia ,rituximab prednisone cyclophosphamide doxorubicin vincristine indium_In_111_ibritumomab_tiuxetan radiation_therapy positron_emission_tomography ,N/A,N/A,N
NCT00088907,Phase 3,Recurrent_Head_and_Neck_Cancer Metastatic_Head_and_Neck_Cancer ,docetaxel placebo gefitinib ,Ventricular_tachycardia ,General_disorders ,Y
NCT00089076,Phase 1/Phase 2,Adult_Grade_III_Lymphomatoid_Granulomatosis B-cell_Chronic_Lymphocytic_Leukemia Cutaneous_B-cell_Non-Hodgkin_Lymphoma Extranodal_Marginal_Zone_B-cell_Lymphoma_of_Mucosa-associated_Lymphoid_Tissue Intraocular_Lymphoma Nodal_Marginal_Zone_B-cell_Lymphoma Recurrent_Adult_Burkitt_Lymphoma Recurrent_Adult_Diffuse_Large_Cell_Lymphoma Recurrent_Adult_Diffuse_Mixed_Cell_Lymphoma Recurrent_Adult_Diffuse_Small_Cleaved_Cell_Lymphoma Recurrent_Adult_Grade_III_Lymphomatoid_Granulomatosis Recurrent_Adult_Hodgkin_Lymphoma Recurrent_Adult_Immunoblastic_Large_Cell_Lymphoma Recurrent_Adult_Lymphoblastic_Lymphoma Recurrent_Grade_1_Follicular_Lymphoma Recurrent_Grade_2_Follicular_Lymphoma Recurrent_Mantle_Cell_Lymphoma Recurrent_Marginal_Zone_Lymphoma Refractory_Hairy_Cell_Leukemia Small_Intestine_Lymphoma Splenic_Marginal_Zone_Lymphoma Testicular_Lymphoma WaldenstrÌ_m_Macroglobulinemia ,ipilimumab laboratory_biomarker_analysis ,N/A,N/A,N
NCT00089297,Phase 2,Head_and_Neck_Cancer,Cetuximab Carboplatin Paclitaxel Radiation_therapy ,N/A,N/A,N
NCT00089479,Phase 3,Breast_Cancer,capecitabine_[Xeloda] Taxotere Taxotere ,N/A,N/A,N
NCT00089544,Phase 2,Recurrent_Adult_Soft_Tissue_Sarcoma Stage_I_Adult_Soft_Tissue_Sarcoma Stage_II_Adult_Soft_Tissue_Sarcoma Stage_III_Adult_Soft_Tissue_Sarcoma ,doxorubicin_hydrochloride ifosfamide dacarbazine filgrastim radiation_therapy thalidomide therapeutic_conventional_surgery laboratory_biomarker_analysis ,N/A,N/A,N
NCT00089505,Phase 3,HIV_Infections,Emtricitabine Emtricitabine/Tenofovir_disoproxil_fumarate Lopinavir/Ritonavir Nevirapine Tenofovir_disoproxil_fumarate ,N/A,General_disorders Pregnancy_puerperium_and_perinatal_conditions ,Y
NCT00089635,Phase 2,Colorectal_Cancer Metastases ,ABX-EGF_(panitumumab),Musculoskeletal_pain ,N/A,N
NCT00089661,Phase 3,Breast_Cancer Low_Bone_Mineral_Density Osteopenia ,Placebo AMG_162_/_Denosumab ,Metastases_to_liver Fracture ,N/A,N
NCT00089648,Phase 2,Carcinoma_Renal_Cell,Sunitinib,Cerebral_haemorrhage ,N/A,N
NCT00089609,Phase 2,Prostatic_Neoplasms,Docetaxel Thalidomide Prednisone bevacizumab polymorphism_analysis immunoenzyme_technique laboratory_biomarker_analysis pharmacological_study ,Fracture ,General_disorders ,Y
NCT00089778,Phase 2,Kidney_Cancer,117-126:Fibroblast_growth_factor_5_(FGF-5) Fibroblast_growth_factor_5_(FGF-5):172-176/217-220 IL-2 ,N/A,N/A,N
NCT00089843,Phase 2/Phase 3,Anorexia_Nervosa,Testosterone Actonel_(risedronate) Placebo_Actonel_(risedronate) Placebo_testosterone ,N/A,N/A,N
NCT00089674,Phase 3,Prostate_Cancer,AMG_162 Placebo ,Sick_sinus_syndrome Ventricular_tachycardia Bladder_cancer Metastases_to_liver Rectal_cancer Cerebral_ischaemia Lung_disorder Aortic_aneurysm Haematoma Haemorrhage Cardio-respiratory_arrest Coronary_artery_stenosis Ventricular_fibrillation Malaise Cystitis Gangrene Localised_infection Musculoskeletal_pain Cerebral_haemorrhage Encephalopathy Hemiparesis Sciatica Renal_failure_chronic Circulatory_collapse Orthostatic_hypotension ,General_disorders ,Y
NCT00089583,Phase 2,Infection_Human_Immunodeficiency_Virus_I,LEXIVA_(GW433908) Ritonavir ,N/A,N/A,N
NCT00089791,Phase 3,Osteoporosis,placebo Denosumab ,Cardiac_failure_acute Cardio-respiratory_arrest Cardiopulmonary_failure Sick_sinus_syndrome Ventricular_fibrillation Duodenal_ulcer Haematemesis Melaena Malaise Multi-organ_failure Cystitis Localised_infection Diabetes_mellitus_inadequate_control Musculoskeletal_pain Spinal_column_stenosis Bladder_cancer Metastases_to_liver Rectal_cancer Cerebral_haemorrhage Cerebral_ischaemia Sciatica Acute_pulmonary_oedema Aortic_aneurysm Haematoma Orthostatic_hypotension Coronary_artery_stenosis Ventricular_tachycardia Oesophagitis Cholangitis Gangrene Hemiparesis Skin_ulcer Haemorrhage Peripheral_ischaemia ,General_disorders ,Y
NCT00089999,Phase 2,Neoplasms_Breast,Lapatinib,Oesophagitis Skin_ulcer ,N/A,N
NCT00090051,Phase 3,Chronic_Lymphocytic_Leukemia,Rituximab Fludarabine_Phosphate Cyclophosphamide ,Malaise Haemorrhage Encephalopathy ,N/A,N
